chemical_method_code, description
BPA, Back Pack                      
ATV, ATV         
SIN, Stem Injection
BBA, Basal Bark
BNO, Boomless Nozzle
CIN, Cut and Insert
CSP, Cut Stump / Cut and Paint
FBO, Fixed Boom
HGU, Hand Gun
SPR, Spread
WCK, Wick
NOT, Chemical Method not recorded                                                                          
