water_body_name,water_body_longitude,water_body_latitude,country_code,province_code,closest_city,distance
Airline Lake,-125.06278,55.13,CAN,BC,Yekooche,58.9
Airplane Lake,-133.2425,59.93139,CAN,BC,Surprise,34.5
Akehurst Lake,-120.47667,51.32833,CAN,BC,Chu Chua,21.7
Akie River,-125.11861,57.02861,CAN,BC,Tsay Keh Dene,18.6
Akolkolex River,-118.03028,50.82333,CAN,BC,Arrowhead,14.7
Aktaklin Lake,-124.92083,52.20417,CAN,BC,Towdystan,13.1
Akus Lake,-125.8225,55.72389,CAN,BC,Old Hogem,23.8
Alah Lake,-121.36611,52.38694,CAN,BC,Black Creek,21.1
Alana Lake,-122.77917,54.16,CAN,BC,Carlson,25
Alans Lake,-121.00556,51.7175,CAN,BC,Deka Lake,16.2
Alaric Lake,-120.16083,49.6175,CAN,BC,Jellicoe,11.5
Alastair Lake,-129.18111,54.10861,CAN,BC,Kitimat,35
Alava Lake,-126.50333,49.90028,CAN,BC,Tahsis,11.7
Albert Lake,-125.35472,55.37806,CAN,BC,Takla Landing,40.3
Albert River,-115.56694,50.53389,CAN,BC,Invermere,32.9
Alberta Lake,-121.63556,51.35028,CAN,BC,Chasm,18.2
Albreda Lake,-119.15778,52.63028,CAN,BC,Albreda,0.9
Albreda River,-119.13083,52.47861,CAN,BC,Albreda,17.8
Alces River,-120.05556,56.12722,CAN,BC,Shearer Dale,6.9
Alcock Lake,-120.21278,55.60889,CAN,BC,Tomslake,10.4
Alder Lake,-123.10472,54.38778,CAN,BC,Isle Pierre,49.6
Aldermen Lakes,-125.2825,49.66611,CAN,BC,Bevan,14.3
Aldrich Lake,-127.37167,54.75389,CAN,BC,Lake Kathlyn,12.1
Alec Chief Lake,-129.78639,59.78139,CAN,BC,Jade City,58.9
Alec Lake,-123.22806,49.70972,CAN,BC,Woodfibre,5
Aleece Lake,-121.63056,50.76556,CAN,BC,Fountain Valley,17
Alex Graham Lake,-123.09,52.205,CAN,BC,Lees Corner,29.3
Alex Lake,-119.21056,50.10389,CAN,BC,Coldstream,13.4
Alex Lake,-122.66167,51.61444,CAN,BC,Big Creek,28
Alexander Lake,-120.50917,50.98389,CAN,BC,Criss Creek,17.3
Alexis Lake,-123.52889,52.27222,CAN,BC,Redstone,19.4
Aleza Lake,-122.06528,54.115,CAN,BC,Newlands,8.9
Alf Lake,-124.92583,54.07972,CAN,BC,Fraser Lake,5.8
Alford Lake,-122.81222,54.31556,CAN,BC,Giscome,40.1
Alice Lake,-123.12167,49.77861,CAN,BC,Cheekye,3.1
Alice Lake,-127.4125,50.46333,CAN,BC,Port Alice,6.7
Alice Lake,-120.1675,52.06167,CAN,BC,Mahood Falls,41.7
Aline Lake,-125.51194,59.37278,CAN,BC,Liard River,32.7
Alix Lakes,-122.41472,52.63722,CAN,BC,Narcosli Creek,13.7
Alixton Lake,-122.11278,51.79278,CAN,BC,Enterprise,28.6
Alkali Lake,-131.27194,57.89778,CAN,BC,Glenora,9.2
Alkali Lake,-122.27917,51.77611,CAN,BC,Becher House,25.3
Alkali Lakes,-121.54861,51.03472,CAN,BC,Clinton,6.9
Alkaline Lake,-115.49889,49.50556,CAN,BC,Bull River,5.6
Allan B Lake,-129.99222,58.42389,CAN,BC,Laketon,31.3
Allan Lake,-130.00167,58.43111,CAN,BC,Laketon,30.4
Allan Lake,-122.21889,49.24417,CAN,BC,Mission,10.6
Allan Lake,-129.56583,59.265,CAN,BC,Jade City,3.4
Allan Lake,-120.34972,51.23056,CAN,BC,Chinook Cove,12.7
Allard Lake,-127.33361,51.48083,CAN,BC,Dawsons Landing,20.7
Allardyce Lake,-126.78639,50.87417,CAN,BC,Sullivan Bay,2.4
Allen Lake,-125.035,49.59861,CAN,BC,Cumberland,2.2
Allenby Lake,-120.52972,49.38639,CAN,BC,Allenby,3.5
Allendale Lake,-119.33056,49.39,CAN,BC,Eagle Bluff,19.3
Alleyne Lake,-120.56722,49.91889,CAN,BC,Aspen Grove,3.9
Allie Lake,-120.84889,51.14667,CAN,BC,Vidette,4.2
Allison Lake,-120.605,49.68333,CAN,BC,Allison Lake,0.7
Alouette Lake,-122.40389,49.34083,CAN,BC,Williams Landing,13.1
Alouette River,-122.70861,49.26444,CAN,BC,Pitt Meadows,5.1
Alpha Lake,-123.00417,50.09222,CAN,BC,Alta Lake,1.7
Alpha Lake,-124.16528,49.93361,CAN,BC,Earls Cove,23.1
Alpha Lake,-121.8525,52.41222,CAN,BC,Big Lake Ranch,0.5
Alpheus Lake,-125.52806,50.47639,CAN,BC,Roy,4.5
Alpine Lake,-129.18167,55.52917,CAN,BC,Alice Arm,18.7
Alpine Lake,-124.17417,50.18417,CAN,BC,Homfray Creek,35.1
Alsek River,-137.99972,59.45528,CAN,BC,Rainy Hollow,83.4
Alta Lake,-122.98194,50.11472,CAN,BC,Alta Lake,1.6
Alto Lake,-126.15778,49.32667,CAN,BC,Ahousat,8.2
Altruist Lake,-123.93611,51.06889,CAN,BC,Nemaiah Valley,46.2
Alty Lake,-129.38583,53.59528,CAN,BC,Weewanie,40.7
Alvin Lake,-129.8325,53.79389,CAN,BC,Oona River,32.4
Alwyn Lake,-130.23472,54.21889,CAN,BC,Port Edward,3.6
Amanita Lake,-121.8325,54.14222,CAN,BC,Newlands,24.4
Ambrose Lake,-124.02361,49.73278,CAN,BC,Earls Cove,2.4
Amedroz Lake,-125.21167,49.01694,CAN,BC,Ecoole,12.4
Amisk Lake,-120.56167,54.24583,CAN,BC,Penny,64.5
Amiskwi Lake,-116.64417,51.59222,CAN,BC,Forde,35.3
Amiskwi River,-116.54667,51.38111,CAN,BC,Edelweiss,30.5
Amor Lake,-125.55278,50.16083,CAN,BC,Bloedel,13
Amoth Lake,-129.6125,54.7675,CAN,BC,Rosswood,54.4
Amphitheatre Lake,-125.38944,49.70472,CAN,BC,Headquarters,20.8
Amy Lake,-125.11944,54.555,CAN,BC,Yekooche,5.8
Anah Lake,-123.25611,52.11778,CAN,BC,Lees Corner,22.3
Anahim Lake,-125.34556,52.48917,CAN,BC,Charlotte Lake,29.5
Anchor Lake,-128.76806,53.06472,CAN,BC,Weewanie,69.7
And Another Lake,-120.2325,49.89194,CAN,BC,Jellicoe,23.5
Anders Lake,-125.87556,54.12278,CAN,BC,Burns Lake,14
Anders Lake,-121.79944,52.285,CAN,BC,Miocene,5
Anderson Lake,-120.40167,50.41639,CAN,BC,Lac Le Jeune,9.6
Anderson Lake,-125.19861,49.73,CAN,BC,Headquarters,7.2
Anderson Lake,-119.80694,52.18917,CAN,BC,Clearwater,62.4
Anderson Lake,-122.40972,50.63333,CAN,BC,McGillivray,2.5
Anderson Lake,-121.34444,54.64806,CAN,BC,Tumbler Ridge,57.6
Anderson River,-121.435,49.84167,CAN,BC,Hells Gate,6.6
Andrew Lake,-125.54667,49.49444,CAN,BC,Bevan,38.5
Andrew Lake,-120.67417,50.56639,CAN,BC,Logan Lake,12.7
Andromeda Lake,-127.80972,50.15194,CAN,BC,Port Alice,38.1
Andros Lake,-124.46667,53.54444,CAN,BC,Lily Lake,41.8
Andrus Lake,-120.60833,50.88778,CAN,BC,Copper Creek,16.1
Andy Bailey Lake,-122.50583,58.54778,CAN,BC,Muskwa,26
Andy Lake,-120.03139,50.79111,CAN,BC,Campbell Creek,15.3
Andys Lake,-120.92806,49.74611,CAN,BC,Brookmere,8.9
Angel Lake,-132.87861,59.49972,CAN,BC,Surprise,33.8
Angler Lake,-127.22278,50.47222,CAN,BC,Benson Lake,11.8
Angly Lake,-124.65889,54.2325,CAN,BC,Lejac,21.1
Angora Lake,-125.53472,49.09056,CAN,BC,Port Albion,15.5
Angus Horne Lake,-119.80139,52.34861,CAN,BC,Albreda,53.9
Angus Lake,-125.63694,49.09,CAN,BC,Port Albion,16.9
Angus Lake,-122.01806,53.0075,CAN,BC,Coldspring House,4.5
Anischeldt Lake,-121.25722,50.28861,CAN,BC,Clapperton,5.7
Anna Lake,-125.30639,50.5025,CAN,BC,Thurlow,7.2
Anna Lake,-131.86639,52.69333,CAN,BC,Lockeport,3.4
Annabelle Lake,-127.45167,51.26361,CAN,BC,Warner Bay,34.1
Anne Lake,-122.82556,49.55333,CAN,BC,Alvin,14.8
Annette Lake,-121.31583,52.53167,CAN,BC,Keithley Creek,27
Another Lake,-120.23778,49.88972,CAN,BC,Jellicoe,23.2
Anser Lake,-131.68972,54.11361,CAN,BC,Masset,31.9
Anstey River,-118.89917,51.13111,CAN,BC,Albas,11.2
Ant Lake,-125.85833,52.1275,CAN,BC,Atnarko,30.3
Ant Lake,-123.23028,54.81111,CAN,BC,Anzac,47.1
Antimony Lake,-121.87389,50.16583,CAN,BC,Lytton,22
Antler Lake,-120.86583,50.38528,CAN,BC,Logan Lake,12.7
Antler Lake,-126.05167,49.80472,CAN,BC,Gold River,2.6
Antoine Lake,-121.51917,52.41556,CAN,BC,Big Lake Ranch,22.4
Anuk River,-131.70056,57.11361,CAN,BC,Fowler,31.4
Anutz Lake,-126.92278,50.30139,CAN,BC,Benson Lake,23.2
Anvil Lake,-129.88722,58.94278,CAN,BC,Porter Landing,20
Anvil Lake,-124.98389,50.08417,CAN,BC,Whaletown,5
Anzac Lake,-127.27194,53.98639,CAN,BC,Noralee,54.8
Anzac River,-122.53667,54.79778,CAN,BC,Anzac,4.6
Anzus Lake,-125.12611,53.93,CAN,BC,Glenannan,12.7
Ape Lake,-126.17639,52.09667,CAN,BC,South Bentinck,34
Apollo Lake,-120.81306,51.6625,CAN,BC,Deka Lake,6.5
Apple River,-125.41556,50.71667,CAN,BC,George River,19.3
Aramis Lakes,-125.32611,57.73639,CAN,BC,Magnum Mine,85.4
Arbor Lake,-129.065,55.73444,CAN,BC,Alice Arm,37.6
Archie Lake,-128.97361,52.87111,CAN,BC,Weewanie,92.1
Arctic Lake,-130.82639,57.23083,CAN,BC,Bob Quinn Lake,45.3
Arctic Lake,-121.67306,54.42056,CAN,BC,Newlands,49.4
Arctic Lake,-124.12556,50.125,CAN,BC,Homfray Creek,41
Arctomys Lake,-118.89778,53.07972,CAN,BC,Red Pass,12.7
Arden Lake,-129.66639,54.33917,CAN,BC,Osland,39.8
Arkansas Lake,-116.97167,49.16917,CAN,BC,Jersey,20.5
Arkell Lake,-129.14278,53.6075,CAN,BC,Weewanie,25
Arlington Lakes,-119.08222,49.61611,CAN,BC,Carmi,13.1
Armstrong Lake,-121.36167,52.34444,CAN,BC,Black Creek,19
Armstrong Lake,-117.69222,50.69889,CAN,BC,Beaton,4.8
Arnica Lake,-125.33306,52.74361,CAN,BC,Ulkatcho,37.7
Arnica Lake,-118.41306,50.75222,CAN,BC,Revelstoke,31.4
Arnica Lake,-125.61694,49.59306,CAN,BC,Gold River,37.4
Arrowhead Lake,-122.35083,50.12972,CAN,BC,Owl Creek,36.4
Arrowhead Lake,-124.13028,49.98722,CAN,BC,Earls Cove,27.6
Arrowhead Lake,-129.05694,55.59778,CAN,BC,Alice Arm,28.7
Arrowsmith Lake,-124.54278,49.21778,CAN,BC,Qualicum Beach,16.2
Arthur Lake,-122.64,52.2425,CAN,BC,Meldrum Creek,26.2
Arthur Lake,-119.46333,50.53889,CAN,BC,Yankee Flats,7.3
Arthur Lake,-124.385,53.57389,CAN,BC,Lily Lake,39.6
Artificial Lake,-125.49333,50.38139,CAN,BC,Rock Bay,5.4
Artlish River,-127.0875,50.115,CAN,BC,Fair Harbour,6.3
Arum Lake,-125.07,49.535,CAN,BC,Cumberland,9.7
Asahal Lake,-122.01056,52.14472,CAN,BC,Dugan Lake,6.1
Ash Lake,-125.0975,49.41583,CAN,BC,Great Central,13.8
Ash Lake,-127.70889,51.71,CAN,BC,Dawsons Landing,16.5
Ash River,-124.97806,49.36194,CAN,BC,Great Central,5
Ashlar Lake,-125.30167,50.28167,CAN,BC,Granite Bay,5.4
Ashman Lake,-114.15806,49.03028,CAN,BC,Flathead,24
Ashnola River,-119.9725,49.22472,CAN,BC,Keremeos,10.6
Ashwood Lake,-129.97167,55.72361,CAN,BC,Stewart,23.9
Asitka Lake,-126.36944,56.54778,CAN,BC,Ingenika Mine,74.5
Asitka River,-126.78944,56.39389,CAN,BC,Fifth Cabin,72.1
Asseek River,-126.67833,51.96222,CAN,BC,South Bentinck,9.2
Assimilation Lake,-129.46639,54.27861,CAN,BC,Osland,48.3
Assiniboine Lake,-115.67861,50.85389,CAN,BC,Kootenay Crossing,26.3
Atan Lake,-121.38222,53.19333,CAN,BC,Stanley,28.5
Atan Lake,-129.18389,59.20083,CAN,BC,McDame,3.4
Atlatzi River,-126.11889,51.01528,CAN,BC,Kingcome,7
Atleo River,-126.05806,49.36972,CAN,BC,Ahousat,9.6
Atlin Lake,-133.72222,59.53194,CAN,BC,Scotia Bay,9.3
Atlin River,-133.85417,59.62194,CAN,BC,Taku,1.3
Atluck Lake,-126.96139,50.21222,CAN,BC,Fair Harbour,19.9
Atna Lake,-127.79611,54.02667,CAN,BC,Kitimat,56
Atna River,-127.75889,54.01694,CAN,BC,Kitimat,58.5
Atnarko River,-126.08889,52.37694,CAN,BC,Atnarko,17.5
Atwaykellesse River,-126.46722,51.11056,CAN,BC,Kingcome,25.5
Atwell Lake,-123.56833,51.71528,CAN,BC,Nemaiah Valley,33.7
Audrey Lake,-125.52028,50.46667,CAN,BC,Roy,5.6
Augers Lake,-123.94944,51.51056,CAN,BC,Nemaiah Valley,5.5
Augier Lake,-125.57806,54.41528,CAN,BC,Pendleton Bay,14.2
August Lake,-120.71361,59.95056,CAN,BC,Snake River,141.4
August Lake,-120.45028,49.4325,CAN,BC,Allenby,5.1
Augustine Lake,-122.62722,54.36222,CAN,BC,Giscome,37
Augustine Lake,-121.43444,52.38167,CAN,BC,Black Creek,25.1
Avalanche Lake,-125.50667,52.07444,CAN,BC,Charlotte Lake,21.9
Averil Lake,-122.35917,54.30389,CAN,BC,Newlands,24.9
Avery Lake,-119.71444,51.52889,CAN,BC,Clearwater,25.5
Avis Lake,-126.83083,59.99111,CAN,BC,Smith River,25.2
Avis Lakes,-117.68472,49.91333,CAN,BC,Carrolls Landing,21
Awun Lake,-132.56778,53.60028,CAN,BC,Shannon Bay,7.1
Awun River,-132.52111,53.65306,CAN,BC,Shannon Bay,1.4
Axe Lake,-122.06722,51.98806,CAN,BC,Williams Lake,16.5
Axel Lake,-120.05167,51.54139,CAN,BC,Clearwater,11.7
Axnegrelga Lake,-128.78333,55.83778,CAN,BC,Meziadin Junction,43.5
Aylmer Lake,-119.71611,50.84806,CAN,BC,Chase,3.8
Azouzetta Lake,-122.61278,55.38667,CAN,BC,Lemoray,19
Azuklotz Lake,-126.73806,56.07667,CAN,BC,Bulkley House,52.4
Azure Lake,-120.1075,52.37111,CAN,BC,Black Creek,67.5
Azure River,-119.93889,52.40778,CAN,BC,Albreda,58.4
Babcock Lake,-121.18917,53.08417,CAN,BC,Stanley,35.7
Babette Lake,-120.20972,54.01389,CAN,BC,Loos,56.2
Babine Lake,-126.01389,54.77639,CAN,BC,Granisle,17.3
Babine River,-127.69361,55.6975,CAN,BC,Hazelton,49.1
Baboon Lake,-126.31056,54.69694,CAN,BC,Granisle,21.9
Back Lake,-115.3925,50.70167,CAN,BC,Radium Hot Springs,49
Backlund Lake,-129.42139,53.64083,CAN,BC,Weewanie,42
Bacon Lake,-121.88806,52.41389,CAN,BC,Big Lake Ranch,2.6
Bacon Lake,-125.62806,49.97083,CAN,BC,Bloedel,23.8
Badger Lake,-120.13778,51.02972,CAN,BC,Exlou,10.1
Baezaeko River,-123.67139,53.135,CAN,BC,Blackwater,39.4
Baile Lake,-124.88056,50.25028,CAN,BC,Teakerne Arm,8.5
Baillon Lake,-121.61917,52.36917,CAN,BC,Big Lake Ranch,16.5
Bainbridge Lake,-124.73306,49.20361,CAN,BC,Port Alberni,6.3
Baird Lake,-117.23528,51.17583,CAN,BC,Golden,23.2
Baird Lake,-118.79278,50.56861,CAN,BC,Enderby,24.6
Baird Lake,-119.74806,51.32694,CAN,BC,Chu Chua,29.2
Baker Lake,-119.62472,49.72083,CAN,BC,Chute Lake,7.8
Balagno Lake,-130.09889,54.21806,CAN,BC,Osland,10.4
Balaklava Lake,-127.63083,50.85111,CAN,BC,Shushartie,15.7
Baldwin Lake,-120.82806,51.88556,CAN,BC,Mahood Falls,13.5
Balfour Lake,-120.81361,51.69361,CAN,BC,Deka Lake,9.8
Ball Lake,-125.31528,49.69611,CAN,BC,Headquarters,16.3
Balsam Lake,-122.71472,54.31417,CAN,BC,Giscome,35.6
Balsam Lakes,-118.14917,51.04083,CAN,BC,Revelstoke,5.7
Banana Lake,-119.80861,49.93167,CAN,BC,West Kelowna City of,17.1
Banana Lake,-125.44722,52.07167,CAN,BC,Charlotte Lake,19.8
Bandello Lake,-120.99722,51.34889,CAN,BC,North Bonaparte,8
Banks Lakes,-130.14444,53.39389,CAN,BC,Oona River,62.2
Bannerman Lake,-120.7,51.62694,CAN,BC,Deka Lake,10.6
Bannock Lake,-130.15917,54.31889,CAN,BC,Prince Rupert,10.8
Banshee Lake,-119.68417,50.88139,CAN,BC,Chase,6.9
Baptiste Lake,-116.0925,50.68889,CAN,BC,Radium Hot Springs,7.7
Barbara Lake,-120.48083,54.12889,CAN,BC,Loos,60.3
Barbe Lakes,-118.75806,50.21,CAN,BC,Blue Springs,7.9
Barber Lake,-120.64083,54.61278,CAN,BC,Tumbler Ridge,61.5
Barbour Lake,-116.13528,50.50278,CAN,BC,Invermere,7.4
Bardolph Lake,-119.05722,50.26861,CAN,BC,Lumby,7.1
Bardon Lake,-129.1,53.63556,CAN,BC,Weewanie,21.3
Bare Lake,-120.54667,51.18778,CAN,BC,Criss Creek,20.1
Barge Lake,-119.16278,49.71806,CAN,BC,McCulloch,9.2
Barkley Lake,-122.46556,52.00111,CAN,BC,Becher House,6.7
Barkshack Lake,-124.15556,50.23083,CAN,BC,Homfray Creek,34.8
Barlow Lake,-124.45056,54.18694,CAN,BC,Dog Creek,16.1
Barnes Lake,-122.80167,49.53167,CAN,BC,Alvin,14.3
Barnes Lake,-114.70417,49.44556,CAN,BC,Corbin,8.8
Barnes Lake,-122.46306,52.00778,CAN,BC,Becher House,7.4
