water_body_name,water_body_longitude,water_body_latitude,country_code,province_code,closest_city,distance
Andrew Lake,-110.11712,59.88449,CAN,AB,Fort Smith,111
Athabasca,-113.87344,55.4061,CAN,AB,Slave Lake,53.4
Athabasca River,-111.32652,58.52027,CAN,AB,Fort Chipewyan,31.7
Battle River,-111.47279,52.8147,CAN,AB,Wainwright,42.9
Beaverhill Creek,-112.6735,53.71918,CAN,AB,Vegreville,47.7
Belly River,-113.41326,49.43327,CAN,AB,Cardston,30.2
Berland River,-117.88156,53.88328,CAN,AB,Hinton,63.1
Berry Creek,-111.61445,51.26453,CAN,AB,Hanna,55.3
Birch River,-113.05163,58.12196,CAN,AB,Fox Lake,94.1
Blindman River,-113.97486,52.41251,CAN,AB,Red Deer,20.2
Brazeau River,-116.41332,52.69675,CAN,AB,Edson,102.7
Buffalo Lake,-112.89885,52.49149,CAN,AB,Stettler,19.8
Buffalo River,-115.25734,59.47993,CAN,AB,Fox Lake,119.7
Cadotte River,-116.64784,56.4803,CAN,AB,Peace River,46.6
Calling Lake,-113.27996,55.23,CAN,AB,Athabasca,59.4
Calling River,-113.02035,55.15888,CAN,AB,Athabasca,54.7
Campbell Lake,-112.63932,59.1433,CAN,AB,Fort Chipewyan,98.3
Chinchaga River,-118.86758,57.89765,CAN,AB,Rainbow Lake,72.8
Chip Lake,-115.33988,53.64724,CAN,AB,Drayton Valley,44.8
Christina River,-111.11816,56.03803,CAN,AB,Fort McMurray,75.5
Clearwater River,-113.47976,52.64509,CAN,AB,Ponoka,12.1
Colin Lake,-110.11317,59.55901,CAN,AB,Fort Chipewyan,103.1
Duncan Lake,-115.28888,57.32808,CAN,AB,La Crete,122.9
Ells River,-112.35888,57.31343,CAN,AB,Fort McMurray,90
Firebag River,-110.22517,57.46585,CAN,AB,Fort McMurray,110.5
Flat River,-118.78359,57.34031,CAN,AB,Manning,82.7
Frog Lake,-110.31934,53.92204,CAN,AB,Bonnyville,50.2
Hay River,-118.37375,59.14724,CAN,AB,High Level,90.7
Highwood River,-114.35695,50.5499,CAN,AB,High River,35.4
Kakwa River,-119.14798,54.30573,CAN,AB,Grande Cache,49.7
Lac la Biche,-112.04231,54.86094,CAN,AB,Lac La Biche,10.2
Lac Ste Anne,-114.39561,53.71211,CAN,AB,Barrhead,49.7
Lake Claire,-112.0086,58.56405,CAN,AB,Fort Chipewyan,58.6
Lesser Slave Lake,-115.58601,55.44683,CAN,AB,High Prairie,56.1
Little Bow River,-113.17363,50.2464,CAN,AB,Claresholm,40.1
Little Smoky River,-117.35573,54.72948,CAN,AB,Valleyview,34.2
Lobstick River,-115.13883,53.63698,CAN,AB,Drayton Valley,38.1
Loon River,-110.81042,56.53481,CAN,AB,Fort McMurray,39.9
MacKay River,-112.58239,56.8204,CAN,AB,Fort McMurray,73.9
Mamawi Lake,-111.45928,58.61985,CAN,AB,Fort Chipewyan,27.9
McLeod River,-116.72038,53.45811,CAN,AB,Edson,28.6
Medicine River,-114.43898,52.4674,CAN,AB,Rocky Mountain House,30.1
Mikkwa River,-114.12663,57.73218,CAN,AB,Fox Lake,85.6
Namur Lake,-112.65869,57.43456,CAN,AB,Fort McMurray,112
North Saskatchewan,-112.35972,53.08646,CAN,AB,Camrose,33
North Wabasca Lake,-113.89912,56.06091,CAN,AB,Wabasca,9.5
Notikewin River,-118.34638,56.99237,CAN,AB,Manning,42.2
Old Fort River,-110.37752,58.55562,CAN,AB,Fort Chipewyan,47.4
Oldman River,-113.30446,49.79536,CAN,AB,Fort Macleod,11.7
Pakowki Lake,-110.95261,49.30963,CAN,AB,Medicine Hat,82.5
Peace,-117.25961,57.41367,CAN,AB,Manning,61.3
Petitot River,-119.65857,59.89984,CAN,AB,Rainbow Lake,156.8
Ponton River,-116.09395,58.75453,CAN,AB,Fort Vermilion,39.5
Red Deer River,-110.05958,51.87429,CAN,AB,Kerrobert,51.7
Ribstone Creek,-110.76079,52.54404,CAN,AB,Wainwright,29
Richardson River,-110.23785,57.9378,CAN,AB,Fort Chipewyan,105.3
Sand River,-110.87426,54.96225,CAN,AB,Lac La Biche,74.2
Simonette River,-118.04274,54.63399,CAN,AB,Valleyview,62.1
Slave River,-111.40134,58.88974,CAN,AB,Fort Chipewyan,22.4
Smoky River,-118.4116,54.83053,CAN,AB,Grande Prairie,50.8
Snipe Lake,-116.77316,55.13871,CAN,AB,High Prairie,38.1
South Heart River,-116.13778,55.83695,CAN,AB,High Prairie,49.3
South Saskatchewan,-110.74295,51.01449,CAN,AB,Oyen,39.7
South Wabasca Lake,-113.72963,55.90271,CAN,AB,Wabasca,11.1
St Mary Reservoir,-113.18664,49.30742,CAN,AB,Cardston,16.8
St Mary River,-113.05932,49.37448,CAN,AB,Cardston,28.1
Sullivan Lake,-111.96653,52.02981,CAN,AB,Hanna,36.7
Utikuma Lake,-115.4006,55.87281,CAN,AB,Slave Lake,81.2
Utikuma River,-115.08338,56.10211,CAN,AB,Wabasca,80
Wabasca River,-114.41289,56.94939,CAN,AB,Wabasca,112.8
Wapiti River,-119.89322,54.81723,CAN,AB,Tupper,76.4
Wentzel Lake,-114.44734,59.04029,CAN,AB,Fox Lake,63.1
Winefred Lake,-110.51611,55.50621,CAN,AB,Cold Lake,122
Winefred River,-110.40686,55.85064,CAN,AB,La Loche,99.1
Yates River,-115.93951,59.90096,CAN,AB,Hay River,102.7
101 Mile Lake,-121.29361,51.6675,CAN,BC,100 Mile House,2.8
103 Mile Lake,-121.29861,51.685,CAN,BC,105 Mile House,2.1
105 Mile Lake,-121.32889,51.71444,CAN,BC,105 Mile House,1.8
108 Mile Lake,-121.36222,51.74222,CAN,BC,Tatton,2.9
130 Mile Lake,-121.74,51.90611,CAN,BC,127 Mile House,5.6
180 Lake,-130.48139,57.35611,CAN,BC,Bob Quinn Lake,45
28 Mile Lake,-124.18333,54.78611,CAN,BC,Pinchi Lake,22.7
4 Mile Lake,-121.55028,51.03944,CAN,BC,Clinton,6.3
6 Mile Lake,-121.54667,51.02333,CAN,BC,Clinton,8.1
Aaltanhash River,-128.47722,53.14639,CAN,BC,Weewanie,64.1
Aba Lake,-122.08,53.47694,CAN,BC,Cinema,36.6
Abas Lake,-124.61361,55.02694,CAN,BC,Pinchi Lake,45.5
Abbott Lake,-121.50111,52.32472,CAN,BC,Miocene,20.6
Abbott Lake,-121.00083,50.2875,CAN,BC,Agate,8.6
Abbs Lake,-121.2425,51.56111,CAN,BC,100 Mile House,9.8
Abel Lake,-121.4125,51.7075,CAN,BC,Tatton,3.3
Aberdeen Lake,-119.05306,50.1175,CAN,BC,Lumby,16.2
Aberystwyth Lake,-116.50528,50.62639,CAN,BC,Radium Hot Springs,30.3
Abetibie Lake,-117.15389,51.51694,CAN,BC,Forde,8.3
Abrams Lake,-123.05222,51.75111,CAN,BC,Big Creek,4
Abruzzi Lake,-115.08167,50.44889,CAN,BC,Round Prairie,44.1
Abuntlet Lake,-125.42194,52.56722,CAN,BC,Atnarko,33.5
Academus Lake,-125.77694,55.47722,CAN,BC,Takla Landing,12
Acme Lake,-119.21611,49.74417,CAN,BC,McCulloch,6.6
Aconitum Lake,-131.61194,59.39889,CAN,BC,Callison Ranch,85.2
Acorn Lake,-126.53861,55.40306,CAN,BC,West Landing,34.7
Acorn Lake,-125.76667,53.99389,CAN,BC,Danskin,1.7
Adam Lake,-122.75167,54.35361,CAN,BC,Giscome,40.6
Adam River,-126.27722,50.46583,CAN,BC,Cracroft,9.9
Adams Lake,-119.57361,51.16944,CAN,BC,Woods Landing,38.3
Adams Lake,-124.92583,54.11556,CAN,BC,Fraser Lake,8.1
Adams River,-119.55389,50.89417,CAN,BC,Chase,12.5
Adelaide Lake,-127.07528,50.92389,CAN,BC,Warner Bay,14.1
Adit Lakes,-122.86694,50.03306,CAN,BC,Alta Lake,11.2
Adler Lake,-120.43444,51.14083,CAN,BC,Chinook Cove,21.3
Adrian Lake,-122.98833,54.49694,CAN,BC,Anzac,43.1
Adsit Lake,-130.48611,58.88056,CAN,BC,Defot,3
Aeneas Lake,-119.70111,49.40111,CAN,BC,Marron Valley,4.6
Aeroplane Lake,-127.88222,59.35444,CAN,BC,Fireside,54.4
Affleck Lake,-127.85472,55.48806,CAN,BC,Gitanyow,28
Agnes Lake,-124.14194,49.95833,CAN,BC,Earls Cove,24.8
Agnes Lake,-127.66222,51.65972,CAN,BC,Dawsons Landing,10.1
Agnus Lake,-124.97861,51.88722,CAN,BC,Tatla Lake,26
Agodak Lake,-125.61056,52.88528,CAN,BC,Ulkatcho,14.1
Agur Lake,-119.83222,49.58333,CAN,BC,Shingle Creek,7.8
Ah Clem Lake,-129.11583,59.17833,CAN,BC,McDame,6.7
Ah Lock Lake,-124.69167,55.72583,CAN,BC,Manson Creek,14.6
Ahbau Lake,-122.09694,53.27,CAN,BC,Cinema,23.8
Ahdatay Lake,-124.95639,55.34417,CAN,BC,Manson Creek,46.6
Ahnuhati River,-125.63944,50.89028,CAN,BC,Thompson Sound,28.3
Ahta River,-126.16556,50.86944,CAN,BC,Kingcome Inlet,9.3
Aid Lake,-117.45444,51.66194,CAN,BC,East Gate,27.5
Aiken Lake,-125.76028,56.42861,CAN,BC,Ingenika Mine,46.5
Aileen Lake,-119.12778,50.09667,CAN,BC,Coldstream,15.9
Ailport Lake,-126.13,54.55278,CAN,BC,Broman Lake,15.1
Ailsa Lake,-116.3975,49.52806,CAN,BC,Meachen,13.6
Ain Lake,-132.44389,53.76278,CAN,BC,Sewall,9.5
Ain River,-132.42333,53.7325,CAN,BC,Sewall,8.9
Aird Lake,-122.96972,53.79083,CAN,BC,Mud River,4.1
