Hull
Trim Tabs
Transom
Pitot Tubes/transducer/depth sounder
Through hull fittings
Lower engine unit
Engine intake
Seastrainer
Propeller Shaft/Assembly/Support
Gimbal Area
Bait and Live wells 
Ballast tanks
Trailer 
Anchor/Ropes/Chains/fenders
Equipment lockers
Other
Bilge
