mechanical_method_code, description
DIG,Digging
BRY,Bury
BUR,Controlled Burning
CUL,Cultivation or till
DED,Dead-heading
FLA,Flaming / Tiger Torch burn
HAN,Hand pulling
HWS,Hot water / Steam
MOW,Mowing
MUL,Mulching
SD ,Suction dredging     
SHM,Sheet Mulching
SV ,Salt water / Vinegar
TG ,Targeted grazing
TR ,Tarping
SED,Seeding
PLT,Planting
CNV,Mechanical Method not recorded
